Year,race,Adams,Alexander,Bond,Boone,Brown,Bureau,Calhoun,Carroll,Cass,Champaign,Christian,Clark,Clay,Clinton,Coles,Crawford,Cumberland,Dekalb,Dewitt,Douglas,Dupage,Edgar,Edwards,Effingham,Fayette,Ford,Franklin,Fulton,Gallatin,Greene,Grundy,Hamilton,Hancock,Hardin,Henderson,Henry,Iroquois,Jackson,Jasper,Jefferson,Jersey,Jo daviess,Johnson,Kane,Kankakee,Kendall,Knox,Lake,Lasalle,Lawrence,Lee,Livingston,Logan,Macon,Macoupin,Madison,Marion,Marshall,Mason,Massac,Mcdonough,Mchenry,Mclean,Menard,Mercer,Monroe,Montgomery,Morgan,Moultrie,Non county agencies,Ogle,Peoria,Perry,Piatt,Pike,Pope,Pulaski,Putnam,Randolph,Richland,Rock island,Saline,Sangamon,Schuyler,Scott,Shelby,St. clair,Stark,Stephenson,Tazewell,Union,Vermilion,Wabash,Warren,Washington,Wayne,White,Whiteside,Will,Williamson,Winnebago,Woodford,Cook
2007,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2007,Native American,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,156
2007,White,794,109,203,849,163,618,95,237,197,2538,555,337,314,540,1049,442,226,2361,385,316,15013,226,33,1217,522,240,1047,749,75,223,920,43,288,108,196,925,643,961,134,765,767,450,235,12191,1890,1765,1023,11757,3069,372,877,946,683,1560,553,6630,803,346,400,505,970,6906,2606,287,398,645,1031,1315,196,49,1136,4158,742,235,630,52,342,95,821,298,3003,776,4046,103,23,502,2638,75,841,3482,276,1406,346,455,254,162,569,1363,6312,1311,3005,937,82873
2008,Black,203,187,32,90,0,33,0,11,17,2619,15,6,6,56,159,22,6,743,39,19,3211,0,0,230,51,29,26,25,6,0,76,0,0,0,10,175,110,788,0,424,21,47,13,3665,1518,265,340,4682,365,19,97,222,107,1504,29,2840,272,0,11,104,146,316,1499,6,11,58,59,446,16,17,69,4548,100,19,39,6,208,0,136,14,1622,131,3629,6,0,0,2762,0,669,329,16,861,0,59,6,0,21,182,3398,230,3250,201,97652
2008,Asian,6,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,18,0,0,219,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,0,135,0,0,0,164,10,0,0,6,0,11,0,22,0,0,0,0,6,25,37,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,29,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,44,0,48,6,1634
2008,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2008,Native American,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,142
2008,White,807,113,153,864,148,535,74,256,162,2549,525,307,233,578,1155,529,232,2213,350,275,14027,285,36,1401,525,257,1200,777,62,287,928,39,205,54,147,858,638,936,180,697,848,383,199,12114,1917,1882,1056,11557,3414,380,824,1126,682,1953,563,7117,950,225,400,504,1153,7042,2463,232,382,639,1238,1329,199,28,1101,3727,679,225,552,23,347,86,951,392,3327,704,4408,116,14,487,2682,77,861,3389,256,1729,366,504,230,210,541,1345,5998,1242,5189,862,79290
2009,Black,189,202,21,77,0,28,0,16,22,2606,16,6,0,39,213,27,6,785,35,14,3086,6,0,281,15,25,33,37,0,6,135,0,0,0,12,158,156,620,0,398,25,38,15,3768,1303,251,335,4465,348,20,75,236,131,1551,24,2993,273,10,11,93,159,342,1405,6,13,50,78,467,10,40,70,4350,104,22,40,0,294,0,110,13,1535,138,3455,11,0,6,3593,0,590,354,14,836,6,70,13,0,29,176,3113,238,3459,131,90994
2009,Asian,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,18,0,0,217,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,0,6,0,0,0,147,0,6,0,140,17,0,0,6,0,0,0,32,0,0,0,0,0,27,35,0,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,26,0,0,0,23,0,0,6,0,0,0,0,0,0,0,0,45,0,40,6,1578
2009,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2009,Native American,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,122
2009,White,908,94,194,803,108,575,81,268,145,2389,512,316,224,541,1294,469,222,2136,364,240,12789,442,32,1465,362,317,1165,861,62,297,1084,15,185,85,110,826,636,870,183,757,845,417,151,11811,1737,1907,1082,10771,3109,514,832,1232,792,2040,532,7054,1123,228,391,465,1176,6355,2555,207,381,514,1139,1353,191,49,1032,3828,874,319,519,10,343,59,839,428,3418,746,4330,92,26,551,2698,65,737,3459,293,1498,386,572,238,265,549,1359,5999,1264,5471,732,75952
2010,Black,213,168,15,70,0,32,6,6,16,2296,22,20,6,39,210,12,16,792,31,10,3125,16,0,353,37,12,22,22,0,6,127,0,0,0,13,129,188,793,0,343,30,83,14,3076,1284,260,378,3614,380,13,106,226,120,1527,41,2687,226,6,10,80,196,277,1233,11,6,37,82,421,6,27,72,3891,154,42,46,0,215,0,113,6,1421,103,3134,0,0,6,3403,0,649,454,14,723,6,51,27,6,33,130,2822,239,3119,198,86353
2010,Asian,0,0,0,0,0,0,0,0,0,64,0,0,0,6,0,0,0,26,0,0,240,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,125,0,6,0,124,10,0,0,6,0,6,0,35,0,0,0,6,6,44,19,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,12,0,17,0,0,0,10,0,6,12,0,0,0,0,0,0,0,6,41,6,51,0,1589
2010,Hispanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2010,Native American,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,113
2010,White,853,56,149,826,90,531,77,297,157,2014,478,301,213,506,1187,448,191,2058,386,175,12454,451,19,1455,608,307,1117,812,6,301,958,42,150,51,145,687,545,812,122,605,868,382,138,10554,1627,1784,977,10209,2806,491,785,1169,684,1870,502,6460,1109,217,363,414,1080,6048,2379,233,448,551,793,1250,132,38,849,3137,820,249,433,6,264,83,732,319,3071,615,3923,88,34,392,2788,79,703,3518,232,1185,286,475,301,233,608,1224,5712,1325,5033,742,72275
2011,Black,185,104,21,73,0,19,0,10,14,2307,25,16,6,49,190,18,6,917,21,10,2949,6,0,253,26,18,30,38,0,6,101,0,0,0,23,111,105,756,0,237,31,64,11,2715,1387,243,357,3705,366,18,114,182,137,1489,30,2638,209,6,10,95,224,305,1305,6,6,32,74,437,6,30,55,3935,122,52,26,0,213,6,113,6,1365,79,3523,6,0,0,3114,0,568,548,16,811,6,71,17,13,28,164,2946,179,2806,181,82966
2011,Asian,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,20,0,0,245,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,132,6,0,0,131,6,0,0,6,6,6,0,31,0,0,0,0,6,25,37,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20,0,27,0,0,0,21,0,0,6,0,0,0,13,0,0,0,0,45,0,43,6,1402
